question,answer
What are hooks?,Hooks are custom JavaScript functions that allow you to execute code before or after an API request or response.
What do hooks in API enable?,Hooks enable custom JavaScript execution before an API request and after the API provider sends a response.
What are the types of hooks available when creating an element?,There are two types of hooks when creating an element: global hooks and resource hooks.
What is the difference between global hooks and resource hooks?,"Global hooks happen on every request or response, while resource hooks happen only on requests to and responses from specific endpoints."
What can hooks be used for?,Hooks can be used to manipulate any part of a request or response or to operate on a configuration.
In what scenarios might one need a hook?,"One might need a hook due to endpoint authentication, sending a value to an endpoint of a different data type than what Cloud Elements supports, or to manipulate headers to extract an ID to include in a response."
What should be referred to for use cases of hooks?,You can refer to Examples (presumably a section in the original document or website) for more use cases of hooks.
Where can you find more information about hooks?,You can find more information about hooks in the Cloud Elements documentation here https://docs.cloud-elements.com/home/element-builder-setup-hooks
What is a global hook?,A global hook is a custom JavaScript function that applies to all requests or responses configured for an element.
What is a resource hook?,A resource hook is a custom JavaScript function that applies to requests or responses configured for a specific endpoint.
What is a pre-request hook?,A pre-request hook is a custom JavaScript function that executes prior to sending API requests.
What is a post-response hook?,A post-response hook is a custom JavaScript function that executes after receiving a response from an API provider.
What is a javascript hook in Cloud Elements or Integration Service?,"In the context of programming, a hook is a function or a piece of code that is triggered to run either before (pre-hook) or after (post-hook) a specific event, such as an API request or a response. Hooks enable developers to enhance or add functionality to a system without making direct modifications to the system's source code.

JavaScript hooks are used to perform custom processing of data before sending an API request or after receiving an API response. They were used to manipulate headers, request bodies, and response data as well as execute other custom actions based on specific conditions. Different hooks allowed communication with other scripts or services via HTTPS.

The hook's body contains the logic to be executed, and often ends with a call to the done function, which signals the continuation or the end of the process based on the parameters provided to done. For instance, the done function may be called with an object that includes manipulated headers or body to be used in an API request or response.

In some cases, these hooks are used to integrate with third-party services or libraries. Lodash, Util, and HTTPS are examples of JavaScript libraries that may be used within a hook. In some other cases, hooks are used to handle specific request methods like DELETE or alter element configurations.

Overall, JavaScript hooks serve as flexible tools to insert custom code in order to handle, process and manipulate an application's request-response lifecycle."
What is the purpose of the request_body parameter?,The request_body parameter contains the incoming request HTTP body.
What is the purpose of the request_body_map parameter?,The request_body_map parameter is a representation of the request_body parameter that has been converted to a MAP for easier script access.
What is the purpose of the request_headers parameter?,The request_headers parameter contains the incoming request headers for the current API call.
What is the purpose of the request_path parameter?,The request_path parameter contains the incoming request path for the current API call.
What is the purpose of the request_parameters parameter?,The request_parameters parameter contains the incoming query parameters for the current API request.
What is the purpose of the request_vendor_parameters parameter?,The request_vendor_parameters parameter contains the incoming vendor query parameters for the current API request.
What is the purpose of the request_method parameter?,The request_method parameter contains the request HTTP method.
What is the purpose of the request_vendor_method parameter?,The request_vendor_method parameter contains the request vendor HTTP method.
What is the purpose of the request_vendor_path parameter?,The request_vendor_path parameter contains the request path for the vendor.
What is the purpose of the request_vendor_headers parameter?,The request_vendor_headers parameter contains the request vendor HTTP headers.
What is the purpose of the request_vendor_body parameter?,The request_vendor_body parameter contains the request vendor HTTP body.
